Timestamp;Latitude;Longitude
1478204189;-8.61961;-36.61341
1478204250;-8.61968;-36.61371
1478204311;-8.61948;-36.61314
1478204372;-8.61950;-36.61315
1478204433;-8.61959;-36.61325
1478204494;-8.61953;-36.61325
1478204555;-8.61952;-36.61327
1478204617;-8.61956;-36.61325
1478204678;-8.61960;-36.61324
1478204739;-8.61963;-36.61324
1478204800;-8.61963;-36.61324
1478204861;-8.61966;-36.61326
1478204922;-8.61966;-36.61324
1478204983;-8.61964;-36.61324
1478205044;-8.61970;-36.61341
1478205105;-8.61969;-36.61336
1478205166;-8.61967;-36.61337
1478268377;-8.61955;-36.61294
1478268438;-8.61957;-36.61296
1478268499;-8.61956;-36.61296
1478268560;-8.61960;-36.61300
1478268621;-8.61956;-36.61304
1478268681;-8.61939;-36.61313
1478268742;-8.61936;-36.61314
1478268803;-8.61933;-36.61317
1478268864;-8.61932;-36.61317
1478268925;-8.61932;-36.61316
1478268986;-8.61932;-36.61317
1478269047;-8.61932;-36.61315
1478269108;-8.61935;-36.61316
1478269169;-8.61937;-36.61322
1478269230;-8.61940;-36.61321
1478269291;-8.61941;-36.61326
1478269413;-8.61946;-36.61332
1478269474;-8.61947;-36.61338
1478269535;-8.61947;-36.61340
1478269596;-8.61947;-36.61342
1478269657;-8.61947;-36.61341
1478269718;-8.61949;-36.61345
1478269779;-8.61948;-36.61343
1478269840;-8.61943;-36.61341
1478269901;-8.61944;-36.61340
1478269962;-8.61941;-36.61338
1478270023;-8.61944;-36.61339
1478270389;-8.61947;-36.61333
1478270450;-8.61948;-36.61308
1478270511;-8.61948;-36.61305
1478270572;-8.61951;-36.61303
1478270633;-8.61951;-36.61303
1478270694;-8.61955;-36.61301
1478270755;-8.61955;-36.61301
1478270816;-8.61955;-36.61302
1478270877;-8.61955;-36.61301
1478270938;-8.61958;-36.61306
1478271182;-8.61957;-36.61314
1478271243;-8.61951;-36.61313
1478271304;-8.61948;-36.61312
1478271365;-8.61950;-36.61311
1478271426;-8.61951;-36.61312
1478271487;-8.61952;-36.61312
1478271548;-8.61951;-36.61312
1478271609;-8.61951;-36.61311
1478271669;-8.61952;-36.61312
1478271730;-8.61952;-36.61311
1478271791;-8.61952;-36.61311
1478271852;-8.61952;-36.61310
1478271913;-8.61952;-36.61310
1478271974;-8.61952;-36.61312
1478272035;-8.61953;-36.61314
1478272096;-8.61953;-36.61312
1478272157;-8.61953;-36.61313
1478272218;-8.61953;-36.61313
1478272279;-8.61952;-36.61312
1478272340;-8.61952;-36.61312
1478272401;-8.61952;-36.61311
1478272462;-8.61953;-36.61313
1478272523;-8.61952;-36.61313
1478272584;-8.61952;-36.61313
1478272645;-8.61951;-36.61312
1478272706;-8.61951;-36.61312
1478272767;-8.61951;-36.61312
1478272828;-8.61950;-36.61312
1478272889;-8.61951;-36.61310
1478272950;-8.61952;-36.61311
1478273011;-8.61951;-36.61310
1478273072;-8.61952;-36.61311
1478273133;-8.61952;-36.61311
1478273194;-8.61952;-36.61310
1478273255;-8.61953;-36.61311
1478273316;-8.61951;-36.61311
1478273377;-8.61952;-36.61310
1478273438;-8.61950;-36.61309
1478273499;-8.61952;-36.61309
1478273560;-8.61951;-36.61310
1478273621;-8.61954;-36.61310
1478273682;-8.61955;-36.61311
1478273743;-8.61954;-36.61309
1478273804;-8.61955;-36.61309
1478273865;-8.61952;-36.61310
1478273926;-8.61951;-36.61310
1478273987;-8.61951;-36.61311
1478274048;-8.61951;-36.61311
1478274109;-8.61952;-36.61311
1478274170;-8.61951;-36.61310
1478274231;-8.61950;-36.61310
1478274292;-8.61951;-36.61310
1478274353;-8.61950;-36.61310
1478274414;-8.61951;-36.61311
1478274475;-8.61952;-36.61311
1478274536;-8.61952;-36.61310
1478274597;-8.61952;-36.61310
1478274658;-8.61954;-36.61311
1478274719;-8.61950;-36.61312
1478274780;-8.61950;-36.61312
1478274841;-8.61951;-36.61312
1478274902;-8.61952;-36.61312
1478274963;-8.61952;-36.61312
1478275024;-8.61951;-36.61312
1478275085;-8.61952;-36.61311
1478275146;-8.61952;-36.61311
1478275207;-8.61952;-36.61308
1478275268;-8.61952;-36.61308
1478275329;-8.61952;-36.61306
1478275390;-8.61954;-36.61299
1478275451;-8.61953;-36.61298
1478275512;-8.61953;-36.61299
1478275573;-8.61953;-36.61300
1478275634;-8.61955;-36.61299
1478275695;-8.61956;-36.61299
1478275756;-8.61958;-36.61304
1478275817;-8.61957;-36.61308
1478275878;-8.61959;-36.61312
1478275939;-8.61959;-36.61313
1478276000;-8.61959;-36.61314
1478276061;-8.61958;-36.61316
1478276122;-8.61960;-36.61321
1478276183;-8.61960;-36.61324
1478276244;-8.61964;-36.61329
1478276305;-8.61967;-36.61334
1478276366;-8.61967;-36.61336
1478276427;-8.61965;-36.61338
1478276488;-8.61964;-36.61338
1478276549;-8.61963;-36.61340
1478276610;-8.61961;-36.61341
1478276671;-8.61961;-36.61341
1478276732;-8.61960;-36.61341
1478276793;-8.61959;-36.61342
1478276854;-8.61958;-36.61342
1478276915;-8.61957;-36.61342
1478276976;-8.61954;-36.61343
1478277037;-8.61951;-36.61345
1478277098;-8.61952;-36.61344
1478277159;-8.61949;-36.61346
1478277220;-8.61943;-36.61341
1478277281;-8.61943;-36.61340
1478277342;-8.61939;-36.61334
1478277403;-8.61934;-36.61324
1478277464;-8.61934;-36.61322
1478277525;-8.61933;-36.61322
1478277586;-8.61932;-36.61320
1478277647;-8.61932;-36.61321
1478277708;-8.61931;-36.61318
1478277769;-8.61930;-36.61319
1478277830;-8.61935;-36.61319
1478277891;-8.61935;-36.61319
1478277952;-8.61935;-36.61322
1478278013;-8.61923;-36.61317
1478278074;-8.61937;-36.61323
1478278135;-8.61938;-36.61322
1478278196;-8.61941;-36.61323
1478278257;-8.61941;-36.61322
1478278318;-8.61942;-36.61320
1478278379;-8.61943;-36.61320
1478278475;-8.61947;-36.61324
1478278696;-8.61943;-36.61320
1478278841;-8.61945;-36.61317
1478279103;-8.61931;-36.61308
1478279147;-8.61945;-36.61313
1478279378;-8.61945;-36.61320
1478279439;-8.61947;-36.61320
1478279500;-8.61948;-36.61319
1478279631;-8.61948;-36.61320
1478279692;-8.61951;-36.61320
1478279753;-8.61951;-36.61320
1478279814;-8.61954;-36.61321
1478280008;-8.61956;-36.61325
1478280069;-8.61957;-36.61327
1478280130;-8.61970;-36.61329
1478280191;-8.61975;-36.61332
1478280252;-8.61974;-36.61333
1478280313;-8.61973;-36.61333
1478280374;-8.61970;-36.61335
1478280435;-8.61971;-36.61335
1478280496;-8.61971;-36.61336
1478280557;-8.61967;-36.61337
1478280618;-8.61967;-36.61336
1478280679;-8.61968;-36.61336
1478280740;-8.61968;-36.61338
1478280801;-8.61961;-36.61340
1478280862;-8.61959;-36.61338
1478280923;-8.61958;-36.61337
1478281009;-8.61958;-36.61336
1478281070;-8.61958;-36.61337
1478281131;-8.61956;-36.61335
1478281192;-8.61953;-36.61333
1478281253;-8.61952;-36.61331
1478281314;-8.61951;-36.61329
1478282912;-8.61939;-36.61315
1478283135;-8.61941;-36.61313
1478289330;-8.61964;-36.61303
