data_vaca;tbs;ur;tgn;tpo
10/17/16 10h44min7s;19.436;77.656;18.985;15.470
10/17/16 10h59min7s;19.389;77.675;18.913;15.427
10/17/16 11h14min7s;19.318;77.887;18.794;15.397
10/17/16 11h29min7s;19.365;78.152;18.937;15.492
10/17/16 11h44min7s;19.341;78.232;18.889;15.484
10/17/16 11h59min7s;19.127;78.442;18.461;15.314
10/18/16 12h14min7s;19.032;78.676;18.343;15.264
10/18/16 12h29min7s;19.032;79.127;18.580;15.346
10/18/16 12h44min7s;19.056;79.470;18.509;15.431
10/18/16 12h59min7s;19.103;79.592;18.699;15.499
10/18/16 01h14min7s;19.032;79.577;18.414;15.427
10/18/16 01h29min7s;18.747;79.685;17.938;15.168
10/18/16 01h44min7s;18.557;80.093;17.724;15.055
10/18/16 01h59min7s;18.414;80.426;17.582;14.974
10/18/16 02h14min7s;18.366;80.667;17.510;14.970
10/18/16 02h29min7s;18.366;80.779;17.653;14.990
10/18/16 02h44min7s;18.628;80.891;18.247;15.266
10/18/16 02h59min7s;18.580;80.965;17.938;15.232
10/18/16 03h14min7s;18.533;81.206;17.938;15.228
10/18/16 03h29min7s;18.414;81.375;17.796;15.141
10/18/16 03h44min7s;18.509;81.479;18.081;15.253
10/18/16 03h59min7s;18.604;81.583;18.224;15.364
10/18/16 04h14min7s;18.628;81.700;18.271;15.408
10/18/16 04h29min7s;18.628;81.784;18.271;15.422
10/18/16 04h44min7s;18.557;81.879;18.129;15.369
10/18/16 04h59min7s;18.461;81.969;18.057;15.291
10/18/16 05h14min7s;18.390;82.093;18.129;15.243
10/18/16 05h29min7s;18.414;82.181;18.247;15.281
10/18/16 05h44min7s;18.509;82.202;18.747;15.378
10/18/16 05h59min7s;18.628;82.145;19.080;15.485
10/18/16 06h14min7s;18.985;82.085;20.317;15.824
10/18/16 06h29min7s;19.436;81.738;21.246;16.207
10/18/16 06h44min7s;20.198;81.120;24.267;16.844
10/18/16 06h59min7s;20.531;80.010;25.065;16.970
10/18/16 07h14min7s;21.079;78.282;25.695;17.187
10/18/16 07h29min7s;21.795;76.225;26.475;17.493
10/18/16 07h44min7s;22.705;74.468;29.490;18.030
10/18/16 07h59min7s;23.857;70.758;31.433;18.379
10/18/16 08h14min7s;24.363;68.053;31.663;18.276
10/18/16 08h29min7s;25.065;66.434;32.536;18.581
10/18/16 08h44min7s;25.817;64.258;34.229;18.789
10/18/16 08h59min7s;26.451;62.712;34.995;19.015
10/18/16 09h14min7s;26.965;60.636;35.636;18.981
10/18/16 09h29min7s;27.235;58.315;35.850;18.631
10/18/16 09h44min7s;27.825;55.167;36.471;18.321
10/18/16 09h59min7s;28.295;54.917;37.261;18.687
10/18/16 10h14min7s;28.518;54.283;38.616;18.713
10/18/16 10h29min7s;29.040;52.923;39.177;18.800
