data_pasto;tbs;ur;tgn;tpo
10/27/2016 17:59:7;24412;52886;;14501
10/27/2016 18:14:7;23857;56282;30545;14926
10/27/2016 18:29:7;23424;58539;35102;15113
10/27/2016 18:44:7;23016;61511;43768;15472
10/27/2016 18:59:7;22585;63293;34045;15491
10/27/2016 19:14:7;22154;65299;38421;15547
10/27/2016 19:29:7;21676;66412;42803;15342
10/27/2016 19:44:7;21199;66627;42475;14934
10/27/2016 19:59:7;20793;68245;40487;14899
10/27/2016 20:14:7;20460;70361;41473;15027
10/27/2016 20:29:7;20150;71792;41443;15023
10/27/2016 20:44:7;19865;72608;39008;14912
10/27/2016 20:59:7;19627;73574;40717;14874
10/27/2016 21:14:7;19341;74755;40833;14828
10/27/2016 21:29:7;19103;76536;40804;14937
10/27/2016 21:44:7;18842;77561;39008;14873
10/27/2016 21:59:7;18628;78365;39715;14813
10/27/2016 22:14:7;18533;79077;38756;14849
10/27/2016 22:29:7;18414;79502;40057;14809
10/27/2016 22:44:7;18271;80032;;14765
10/27/2016 22:59:7;18247;80334;43073;14795
10/27/2016 23:14:7;18176;80570;17772;14767
10/27/2016 23:29:7;18033;80595;17772;14632
10/27/2016 23:44:7;17986;80919;17677;14642
10/27/2016 23:59:7;17962;81053;;14642
10/28/2016 00:14:7;17915;81293;;14638
10/28/2016 00:29:7;17915;81488;21127;14672
10/28/2016 00:44:7;17891;81538;29991;14657
10/28/2016 00:59:7;17891;81511;21270;14652
10/28/2016 01:14:7;17843;81389;26085;14584
10/28/2016 01:29:7;17724;81391;34440;14468
10/28/2016 01:44:7;17415;81323;21724;14154
10/28/2016 01:59:7;17249;81536;19270;14027
10/28/2016 02:14:7;17130;81814;23930;13959
10/28/2016 02:29:7;17082;81887;20341;13924
10/28/2016 02:44:7;17082;81942;20150;13934
10/28/2016 02:59:7;17011;82037;34308;13880
10/28/2016 03:14:7;16939;82159;19817;13831
10/28/2016 03:29:7;16915;82237;21246;13821
10/28/2016 03:44:7;16796;82348;23448;13723
10/28/2016 03:59:7;16701;82410;;13640
10/28/2016 04:14:7;16606;82471;;13557
10/28/2016 04:29:7;16773;82646;16439;13750
10/28/2016 04:44:7;16987;82666;16677;13964
10/28/2016 04:59:7;16868;82777;16939;13866
10/28/2016 05:14:7;16915;82925;16654;13938
10/28/2016 05:29:7;17153;83006;17296;14185
10/28/2016 05:44:7;17605;82942;22729;14618
10/28/2016 05:59:7;18699;82661;19270;15644
10/28/2016 06:14:7;18818;81881;18628;15626
10/28/2016 06:29:7;19770;81083;24363;16417
10/28/2016 06:44:7;19389;79766;20031;15809
10/28/2016 06:59:7;19722;78028;20936;15817
10/28/2016 07:14:7;21318;76128;38365;17011
10/28/2016 07:29:7;22345;71154;39403;17007
10/28/2016 07:44:7;23088;69461;38060;17362
10/28/2016 07:59:7;23785;66151;30217;17296
10/28/2016 08:14:7;24436;63266;29966;17241
10/28/2016 08:29:7;24919;60683;36281;17064
10/28/2016 08:44:7;25428;58165;35797;16897
10/28/2016 08:59:7;25671;56831;33495;16769
10/28/2016 09:14:7;26500;54882;36444;17006
10/28/2016 09:29:7;27136;52852;36933;17016
10/28/2016 09:44:7;27358;50457;34704;16502
10/28/2016 09:59:7;27727;50698;37370;16916
10/28/2016 10:14:7;28369;48755;36579;16898
10/28/2016 10:29:7;28866;48495;41560;17270
10/28/2016 10:44:7;29365;45498;36742;16725
10/28/2016 10:59:7;29690;47592;38170;17728
10/28/2016 11:14:7;30117;47222;;17995
10/28/2016 11:29:7;30318;41655;;16200
10/28/2016 11:44:7;30824;42241;;16874
10/28/2016 11:59:7;30925;41522;40920;16694
10/28/2016 12:14:7;31230;40756;;16672
10/28/2016 12:29:7;32433;41319;45845;17967
10/28/2016 12:44:7;32047;37791;42119;16202
10/28/2016 12:59:7;32201;36524;42505;15796
10/28/2016 13:14:7;32278;38050;43435;16515
10/28/2016 13:29:7;32717;38431;42893;17063
10/28/2016 13:44:7;33235;37639;45845;17189
10/28/2016 13:59:7;33313;35749;43768;16433
10/28/2016 14:14:7;33157;39183;45154;17764
10/28/2016 14:29:7;32665;37785;43616;16747
10/28/2016 14:44:7;33313;36394;44104;16719
10/28/2016 14:59:7;33183;36517;42773;16659
10/28/2016 15:14:7;33313;36530;42833;16779
10/28/2016 15:29:7;33235;35571;43799;16285
10/28/2016 15:44:7;33027;35993;42416;16291
10/28/2016 15:59:7;32253;37306;39971;16178
10/28/2016 16:14:7;31944;37950;38337;16177
10/28/2016 16:29:7;31230;40022;35797;16384
10/28/2016 16:44:7;30545;40450;33757;15941
10/28/2016 16:59:7;29565;42135;31689;15703
10/28/2016 17:14:7;28419;44143;;15396
10/28/2016 17:29:7;27259;47129;;15357
10/28/2016 17:44:7;26451;49730;31791;15444
10/28/2016 17:59:7;25866;51534;25210;15452
10/28/2016 18:14:7;25307;53641;25380;15547
10/28/2016 18:29:7;24823;56175;24339;15799
10/28/2016 18:44:7;24388;58007;26207;15879
10/28/2016 18:59:7;23930;59880;29916;15930
10/28/2016 19:14:7;23545;62358;30167;16178
10/28/2016 19:29:7;23136;63960;33313;16172
10/28/2016 19:44:7;22729;65848;23112;16219
10/28/2016 19:59:7;22345;67336;21700;16187
10/28/2016 20:14:7;21963;68812;21223;16142
10/28/2016 20:29:7;21533;70120;20746;16008
10/28/2016 20:44:7;21151;71661;20246;15961
10/28/2016 20:59:7;20746;72953;20031;15832
10/28/2016 21:14:7;20412;74680;19841;15851
10/28/2016 21:29:7;20103;75968;19603;15800
10/28/2016 21:44:7;19865;77005;19436;15765
10/28/2016 21:59:7;19627;78150;19294;15747
10/28/2016 22:14:7;19413;78925;19127;15680
10/28/2016 22:29:7;19318;79666;19222;15722
10/28/2016 22:44:7;19270;80022;19341;15739
10/28/2016 22:59:7;18889;80249;18818;15408
10/28/2016 23:14:7;18699;80739;19627;15309
10/28/2016 23:29:7;18723;80828;19674;15348
10/28/2016 23:44:7;18557;80820;19722;15183
10/28/2016 23:59:7;18557;80960;19960;15208
10/29/2016 00:14:7;18366;81030;19793;15034
10/29/2016 00:29:7;18366;81225;20055;15068
10/29/2016 00:44:7;18461;81385;20341;15190
10/29/2016 00:59:7;18414;81458;20269;15156
10/29/2016 01:14:7;18485;81446;20460;15223
10/29/2016 01:29:7;18485;81390;20341;15214
10/29/2016 01:44:7;18461;81469;20436;15204
10/29/2016 01:59:7;18509;81423;20531;15243
10/29/2016 02:14:7;18485;81362;20531;15209
10/29/2016 02:29:7;18414;81263;20436;15122
10/29/2016 02:44:7;18438;81380;20555;15165
10/29/2016 02:59:7;18414;81403;20531;15146
10/29/2016 03:14:7;18224;81417;20198;14962
10/29/2016 03:29:7;18319;81660;20484;15098
10/29/2016 03:44:7;18295;81794;20460;15098
10/29/2016 03:59:7;18295;81877;20436;15112
10/29/2016 04:14:7;18319;81966;20531;15151
10/29/2016 04:29:7;18200;81995;20103;15039
10/29/2016 04:44:7;18200;82162;20269;15068
10/29/2016 04:59:7;18247;82200;20436;15121
10/29/2016 05:14:7;18176;82184;20174;15049
10/29/2016 05:29:7;18129;82312;20126;15024
10/29/2016 05:44:7;18295;82349;20531;15194
10/29/2016 05:59:7;18557;82324;21079;15446
10/29/2016 06:14:7;19103;82111;22011;15946
10/29/2016 06:29:7;19294;81790;22465;16076
10/29/2016 06:44:7;21628;75326;23448;17156
10/29/2016 06:59:7;22872;71518;26500;17590
10/29/2016 07:14:7;22992;72890;30824;17989
10/29/2016 07:29:7;23400;70496;27014;17883
10/29/2016 07:44:7;24122;69025;28345;18259
10/29/2016 07:59:7;24823;67415;32021;18573
10/29/2016 08:14:7;25380;64124;30091;18341
10/29/2016 08:29:7;25963;63244;;18683
10/29/2016 08:44:7;26867;60899;31996;18956
10/29/2016 08:59:7;27358;57677;;18575
10/29/2016 09:14:7;27554;56546;;18452
10/29/2016 09:29:7;28369;55593;40343;18948
10/29/2016 09:44:7;28916;52426;34995;18537
10/29/2016 09:59:7;29414;50181;35904;18309
10/29/2016 10:14:7;29690;50346;35770;18614
10/29/2016 10:29:7;30066;48452;37015;18355
10/29/2016 10:44:7;30495;44877;46067;17534
10/29/2016 10:59:7;31128;45182;;18215
10/29/2016 11:14:7;31535;44142;;18214
10/29/2016 11:29:7;31740;43040;39715;17996
10/29/2016 11:44:7;32073;41480;41152;17707
10/29/2016 11:59:7;32330;41008;42594;17754
10/29/2016 12:14:7;32717;39575;;17531
10/29/2016 12:29:7;32846;37060;;16597
10/29/2016 12:44:7;33157;36786;44196;16753
10/29/2016 12:59:7;33548;36959;43768;17173
10/29/2016 13:14:7;33887;38076;44658;17952
10/29/2016 13:29:7;33914;34134;44627;16219
10/29/2016 13:44:7;33521;38378;41942;17755
10/29/2016 13:59:7;33704;35615;;16717
10/29/2016 14:14:7;34019;33664;;16089
10/29/2016 14:29:7;34045;33940;;16243
10/29/2016 14:44:7;34124;31405;;15068
10/29/2016 14:59:7;33835;33819;;16002
10/29/2016 15:14:7;33966;36355;;17277
10/29/2016 15:29:7;31740;41311;34704;17343
10/29/2016 15:44:7;31179;41383;;16868
10/29/2016 15:59:7;30444;43917;;17147
10/29/2016 16:14:7;29941;45173;30849;17136
10/29/2016 16:29:7;29240;47504;29389;17288
10/29/2016 16:44:7;29340;48555;31052;17723
10/29/2016 16:59:7;28941;50216;31740;17884
10/29/2016 17:14:7;27850;52632;27456;17612
10/29/2016 17:29:7;27087;55470;32975;17719
10/29/2016 17:44:7;26524;57614;26085;17778
10/29/2016 17:59:7;26061;60895;28048;18194
10/29/2016 18:14:7;25574;63974;;18490
10/29/2016 18:29:7;24968;66387;32278;18478
10/29/2016 18:44:7;24315;69090;23641;18459
10/29/2016 18:59:7;23785;70863;22776;18331
10/29/2016 19:14:7;23280;72506;22321;18189
10/29/2016 19:29:7;22848;73972;25016;18070
10/29/2016 19:44:7;22585;74764;21915;17973
10/29/2016 19:59:7;22537;74464;22011;17867
10/29/2016 20:14:7;22321;75320;21652;17828
10/29/2016 20:29:7;21795;77087;21079;17659
10/29/2016 20:44:7;21533;76918;26207;17371
10/29/2016 20:59:7;21318;77790;20889;17327
10/29/2016 21:14:7;21008;78096;21032;17083
10/29/2016 21:29:7;20770;78616;20293;16947
10/29/2016 21:44:7;20507;79355;19912;16827
10/29/2016 21:59:7;20388;79782;19936;16789
10/29/2016 22:14:7;20269;80207;19960;16750
10/29/2016 22:29:7;20103;80115;21008;16570
10/29/2016 22:44:7;19912;80497;19603;16453
10/29/2016 22:59:7;19770;80719;19294;16353
10/29/2016 23:14:7;19817;80925;19555;16436
10/29/2016 23:29:7;19770;80915;19460;16388
10/29/2016 23:44:7;19793;80892;19651;16407
10/29/2016 23:59:7;19960;80507;20007;16501
10/30/2016 00:14:7;20055;79964;20126;16496
10/30/2016 00:29:7;20174;79482;20317;16525
10/30/2016 00:44:7;20246;79129;20293;16531
10/30/2016 00:59:7;20198;78978;20246;16456
10/30/2016 01:14:7;20174;78775;20150;16396
10/30/2016 01:29:7;20103;79014;19865;16370
10/30/2016 01:44:7;19984;79724;19698;16383
10/30/2016 01:59:7;19865;80008;19555;16318
10/30/2016 02:14:7;19698;80451;19365;16235
10/30/2016 02:29:7;19651;80609;19341;16217
10/30/2016 02:44:7;19674;80838;19365;16281
10/30/2016 02:59:7;19460;81072;19080;16113
10/30/2016 03:14:7;19341;81242;18985;16026
10/30/2016 03:29:7;19222;81412;18794;15940
10/30/2016 03:44:7;19080;81437;18580;15804
10/30/2016 03:59:7;18937;81740;18461;15718
10/30/2016 04:14:7;18747;81643;18319;15514
10/30/2016 04:29:7;18604;81611;18224;15369
10/30/2016 04:44:7;18533;81902;18081;15350
10/30/2016 04:59:7;18438;81992;17962;15272
10/30/2016 05:14:7;18390;82009;18057;15228
10/30/2016 05:29:7;18747;81782;19508;15538
10/30/2016 05:44:7;19484;80713;20984;16072
10/30/2016 05:59:7;20269;78624;22202;16461
10/30/2016 06:14:7;21223;76453;24074;16981
10/30/2016 06:29:7;22753;71583;25817;17488
10/30/2016 06:44:7;24750;61607;;17135
10/30/2016 06:59:7;24508;60587;28568;16653
10/30/2016 07:14:7;22776;67591;25404;16655
10/30/2016 07:29:7;23809;66937;27776;17496
10/30/2016 07:44:7;23905;66022;28593;17381
10/30/2016 07:59:7;24098;65362;27210;17413
10/30/2016 08:14:7;23954;65850;28147;17387
10/30/2016 08:29:7;24436;65148;28791;17685
10/30/2016 08:44:7;25695;63811;33027;18566
10/30/2016 08:59:7;26207;61350;31535;18447
10/30/2016 09:14:7;27333;58954;32433;18892
10/30/2016 09:29:7;28295;56245;34942;19060
10/30/2016 09:44:7;27702;56944;32639;18699
10/30/2016 09:59:7;27727;54647;32639;18082
10/30/2016 10:14:7;28072;54093;33548;18245
10/30/2016 10:29:7;27924;54168;33131;18128
10/30/2016 10:44:7;28097;54160;33209;18287
10/30/2016 10:59:7;29040;52155;39857;18570
10/30/2016 11:14:7;29090;52322;35395;18667
10/30/2016 11:29:7;29890;50759;40257;18928
10/30/2016 11:44:7;29941;50701;40257;18956
10/30/2016 11:59:7;30167;48887;38812;18588
10/30/2016 12:14:7;30874;46268;;18362
10/30/2016 12:29:7;30900;47155;;18686
10/30/2016 12:44:7;30192;47785;37755;18251
10/30/2016 12:59:7;31204;46996;43435;18910
10/30/2016 13:14:7;31128;45544;;18342
10/30/2016 13:29:7;31331;46225;;18763
10/30/2016 13:44:7;30874;46988;;18607
10/30/2016 13:59:7;31637;44318;;18370
10/30/2016 14:14:7;31586;45302;42923;18673
10/30/2016 14:29:7;29941;47102;33652;17794
10/30/2016 14:44:7;29865;46995;37783;17690
10/30/2016 14:59:7;30369;45519;37618;17644
10/30/2016 15:14:7;29515;47571;36933;17561
10/30/2016 15:29:7;30369;46142;39093;17859
10/30/2016 15:44:7;30016;46393;37866;17624
10/30/2016 15:59:7;29590;47027;36227;17449
10/30/2016 16:14:7;28866;47490;34916;16942
10/30/2016 16:29:7;28147;48791;;16706
10/30/2016 16:44:7;26818;51057;28642;16187
10/30/2016 16:59:7;26012;52792;31893;15956
10/30/2016 17:14:7;25089;55338;27776;15819
10/30/2016 17:29:7;24002;57824;27259;15470
10/30/2016 17:44:7;23376;60070;22729;15456
10/30/2016 17:59:7;22944;62685;27949;15688
10/30/2016 18:14:7;22537;64854;27186;15809
10/30/2016 18:29:7;22058;65282;27087;15452
10/30/2016 18:44:7;21700;66864;24195;15465
10/30/2016 18:59:7;21390;67879;22705;15391
10/30/2016 19:14:7;21056;70090;22274;15543
10/30/2016 19:29:7;20770;71209;20007;15501
10/30/2016 19:44:7;20507;71685;19793;15346
10/30/2016 19:59:7;20317;73536;19841;15534
10/30/2016 20:14:7;20126;73874;25671;15417
10/30/2016 20:29:7;19865;74687;19127;15322
10/30/2016 20:44:7;19627;75070;19246;15166
10/30/2016 20:59:7;19460;75467;23761;15080
10/30/2016 21:14:7;19365;76533;18747;15190
10/30/2016 21:29:7;19270;77594;18723;15296
10/30/2016 21:44:7;19056;77861;18604;15137
10/30/2016 21:59:7;18913;78707;18699;15153
10/30/2016 22:14:7;18747;79292;18557;15097
10/30/2016 22:29:7;18628;79660;18889;15047
10/30/2016 22:44:7;18628;79575;20722;15032
10/30/2016 22:59:7;18533;79583;18414;14940
10/30/2016 23:14:7;18414;79614;18247;14830
10/30/2016 23:29:7;18366;79884;18224;14831
10/30/2016 23:44:7;18390;80057;18366;14885
10/30/2016 23:59:7;18366;80220;18247;14891
10/31/2016 00:14:7;18509;80586;18557;15096
10/31/2016 00:29:7;18485;80497;18461;15057
10/31/2016 00:44:7;18319;80601;18271;14912
10/31/2016 00:59:7;18414;81012;18747;15078
10/31/2016 01:14:7;18485;80777;18771;15106
10/31/2016 01:29:7;18580;80825;18937;15208
10/31/2016 01:44:7;18343;80885;18343;14985
10/31/2016 01:59:7;18414;81124;18723;15097
10/31/2016 02:14:7;18438;81157;18580;15126
10/31/2016 02:29:7;18319;81577;18438;15083
10/31/2016 02:44:7;18557;81490;19008;15301
10/31/2016 02:59:7;18723;81303;19246;15431
10/31/2016 03:14:7;18580;80909;18794;15222
10/31/2016 03:29:7;18652;80869;19151;15285
10/31/2016 03:44:7;18771;81034;19222;15431
10/31/2016 03:59:7;18842;81385;19318;15562
10/31/2016 04:14:7;18913;81400;19318;15635
10/31/2016 04:29:7;18985;81416;19294;15707
10/31/2016 04:44:7;19032;81454;19341;15761
10/31/2016 04:59:7;19080;81604;19460;15834
10/31/2016 05:14:7;19008;81533;19222;15751
10/31/2016 05:29:7;19103;81665;19722;15868
10/31/2016 05:44:7;19793;81285;21772;16476
10/31/2016 05:59:7;20531;79755;39658;16924
10/31/2016 06:14:7;21032;78500;27751;17181
10/31/2016 06:29:7;21032;77645;41239;17021
10/31/2016 06:44:7;22034;75060;25065;17498
10/31/2016 06:59:7;22465;72614;24629;17424
10/31/2016 07:14:7;23881;69398;28493;18110
10/31/2016 07:29:7;24774;67557;29690;18558
10/31/2016 07:44:7;24460;66720;28221;18069
10/31/2016 07:59:7;25040;64158;30469;18027
10/31/2016 08:14:7;25817;60887;30824;17963
10/31/2016 08:29:7;25623;60640;30950;17717
10/31/2016 08:44:7;25501;61513;30268;17821
10/31/2016 08:59:7;26378;56654;32021;17382
10/31/2016 09:14:7;26475;57669;30874;17747
10/31/2016 09:29:7;26818;55935;32949;17596
10/31/2016 09:44:7;27063;54836;32639;17518
10/31/2016 09:59:7;27112;54717;31893;17530
10/31/2016 10:14:7;27530;52046;32510;17142
10/31/2016 10:29:7;27974;52298;35904;17627
10/31/2016 10:44:7;28841;48589;38143;17277
10/31/2016 10:59:7;29439;46095;38672;16998
10/31/2016 11:14:7;28841;49913;40343;17698
10/31/2016 11:29:7;29916;46153;;17450
10/31/2016 11:44:7;29515;46235;;17114
10/31/2016 11:59:7;29966;46028;;17454
10/31/2016 12:14:7;30469;44447;41560;17359
10/31/2016 12:29:7;31128;42805;44165;17358
10/31/2016 12:44:7;31103;43266;41619;17505
10/31/2016 12:59:7;31331;41433;42238;17024
10/31/2016 13:14:7;31535;40589;42001;16880
10/31/2016 13:29:7;31765;40613;43073;17095
10/31/2016 13:44:7;31893;42393;44905;17893
10/31/2016 13:59:7;32227;41397;41619;17813
10/31/2016 14:14:7;31128;41910;36389;17023
10/31/2016 14:29:7;31637;41932;42179;17489
10/31/2016 14:44:7;30773;42964;36173;17097
10/31/2016 14:59:7;30343;42486;38616;16533
10/31/2016 15:14:7;30748;42796;39065;17012
10/31/2016 15:29:7;29515;43745;32949;16245
10/31/2016 15:44:7;29991;44424;38004;16918
10/31/2016 15:59:7;28692;45483;29640;16109
10/31/2016 16:14:7;29565;45555;36796;16926
10/31/2016 16:29:7;28245;47057;34071;16233
10/31/2016 16:44:7;27259;49290;27875;16049
10/31/2016 16:59:7;27358;50521;29640;16522
10/31/2016 17:14:7;26353;53504;26744;16479
10/31/2016 17:29:7;25355;58278;24629;16858
10/31/2016 17:44:7;24629;61894;24532;17091
10/31/2016 17:59:7;24002;63954;23400;16992
10/31/2016 18:14:7;23497;65861;22896;16954
10/31/2016 18:29:7;23208;67459;22920;17039
10/31/2016 18:44:7;22872;68145;22537;16869
10/31/2016 18:59:7;22561;69069;23569;16771
10/31/2016 19:14:7;22321;70325;;16810
10/31/2016 19:29:7;21819;71554;40833;16583
10/31/2016 19:44:7;21413;72178;;16320
10/31/2016 19:59:7;21056;72751;20484;16091
10/31/2016 20:14:7;20698;73813;23857;15958
10/31/2016 20:29:7;20341;74724;20055;15791
10/31/2016 20:44:7;20055;75758;19841;15714
10/31/2016 20:59:7;19793;76506;19318;15602
10/31/2016 21:14:7;19627;76985;19627;15530
10/31/2016 21:29:7;19460;77235;19674;15415
10/31/2016 21:44:7;19389;77703;19674;15432
10/31/2016 21:59:7;19294;78335;19603;15456
10/31/2016 22:14:7;19341;78543;19936;15541
10/31/2016 22:29:7;19318;78538;19865;15517
10/31/2016 22:44:7;19175;78903;19627;15444
10/31/2016 22:59:7;19127;79485;19746;15503
10/31/2016 23:14:7;18866;79542;18699;15258
10/31/2016 23:29:7;18794;80200;19603;15306
10/31/2016 23:44:7;18889;80417;20055;15438
10/31/2016 23:59:7;18937;80259;20174;15456
11/01/2016 00:14:7;18913;80170;20198;15417
11/01/2016 00:29:7;18937;80006;20317;15411
11/01/2016 00:44:7;18961;79759;20317;15390
11/01/2016 00:59:7;18985;79960;20388;15449
11/01/2016 01:14:7;18913;79636;20293;15321
11/01/2016 01:29:7;18747;79741;19888;15178
11/01/2016 01:44:7;18604;80215;19793;15123
11/01/2016 01:59:7;18485;80357;19627;15032
11/01/2016 02:14:7;18366;80583;19484;14956
11/01/2016 02:29:7;18461;80744;19841;15077
11/01/2016 02:44:7;18438;80683;19722;15043
11/01/2016 02:59:7;18414;80845;19770;15048
11/01/2016 03:14:7;18414;80957;19793;15068
11/01/2016 03:29:7;18366;80891;19746;15010
11/01/2016 03:44:7;18176;80849;19318;14816
11/01/2016 03:59:7;18105;81224;19389;14812
11/01/2016 04:14:7;18176;81295;19555;14894
11/01/2016 04:29:7;18224;81333;19603;14948
11/01/2016 04:44:7;18224;81417;19603;14962
11/01/2016 04:59:7;18033;81653;19199;14817
11/01/2016 05:14:7;18033;81764;19365;14836
11/01/2016 05:29:7;18176;81712;19698;14967
11/01/2016 05:44:7;18889;81646;21533;15655
11/01/2016 05:59:7;19365;80631;21652;15941
11/01/2016 06:14:7;19318;80621;21413;15893
11/01/2016 06:29:7;20793;78592;;16966
11/01/2016 06:44:7;21390;74122;;16688
11/01/2016 06:59:7;21485;73590;;16674
11/01/2016 07:14:7;21628;73327;;16760
11/01/2016 07:29:7;22369;71541;;17110
11/01/2016 07:44:7;23400;68537;;17461
11/01/2016 07:59:7;24219;66106;;17699
11/01/2016 08:14:7;24412;64083;;17412
11/01/2016 08:29:7;24581;63868;;17522
11/01/2016 08:44:7;24944;60809;28593;17119
11/01/2016 08:59:7;24581;61519;27235;16953
11/01/2016 09:14:7;25162;59765;29265;17061
11/01/2016 09:29:7;25598;58967;29265;17266
11/01/2016 09:44:7;26573;54388;;16935
11/01/2016 09:59:7;26622;53826;31153;16821
11/01/2016 10:14:7;26769;54321;31714;17098
11/01/2016 10:29:7;27235;51815;31586;16800
11/01/2016 10:44:7;27776;49774;;16676
11/01/2016 10:59:7;27308;51123;;16660
11/01/2016 11:14:7;27727;50121;;16738
11/01/2016 11:29:7;28097;49687;;16944
11/01/2016 11:44:7;27751;49514;;16572
11/01/2016 11:59:7;28147;49275;;16859
11/01/2016 12:14:7;29040;46764;;16860
11/01/2016 12:29:7;28742;46532;;16510
11/01/2016 12:44:7;29015;45979;;16572
11/01/2016 12:59:7;29740;44231;;16622
11/01/2016 13:14:7;29590;44148;;16457
11/01/2016 13:29:7;29040;45427;33469;16406
11/01/2016 13:44:7;29115;44486;33678;16147
11/01/2016 13:59:7;29389;43993;37151;16221
11/01/2016 14:14:7;29840;42760;39234;16182
11/01/2016 14:29:7;29365;43366;34045;15973
11/01/2016 14:44:7;29215;44170;36851;16125
11/01/2016 14:59:7;29640;41945;37261;15699
11/01/2016 15:14:7;29490;44924;36335;16639
11/01/2016 15:29:7;28444;45323;34624;15829
11/01/2016 15:44:7;28891;44198;34916;15842
11/01/2016 15:59:7;28072;46158;33783;15775
11/01/2016 16:14:7;27875;46297;32898;15642
11/01/2016 16:29:7;27333;47203;34519;15448
11/01/2016 16:44:7;26720;50309;29590;15870
11/01/2016 16:59:7;25841;50481;;15113
11/01/2016 17:14:7;24895;55873;30697;15785
11/01/2016 17:29:7;23954;57631;23400;15374
11/01/2016 17:44:7;23497;59321;23232;15380
11/01/2016 17:59:7;23112;63925;24050;16141
11/01/2016 18:14:7;22657;66135;;16216
11/01/2016 18:29:7;22106;69134;;16349
11/01/2016 18:44:7;21581;70423;;16118
11/01/2016 18:59:7;21151;71252;;15877
11/01/2016 19:14:7;21103;72964;36579;16180
11/01/2016 19:29:7;20722;72686;20817;15756
11/01/2016 19:44:7;20174;73826;28270;15453
11/01/2016 19:59:7;19817;74418;;15224
11/01/2016 20:14:7;19603;74951;;15119
11/01/2016 20:29:7;19389;75595;;15036
11/01/2016 20:44:7;19175;76066;;14917
11/01/2016 20:59:7;19008;76716;;14878
11/01/2016 21:14:7;18913;77888;;15003
11/01/2016 21:29:7;18723;78526;;14935
11/01/2016 21:44:7;18533;78458;;14737
11/01/2016 21:59:7;18390;79075;17843;14710
11/01/2016 22:14:7;18271;79695;17677;14705
11/01/2016 22:29:7;18129;79973;17701;14615
11/01/2016 22:44:7;18105;80499;18176;14685
11/01/2016 22:59:7;18057;80684;18533;14671
11/01/2016 23:14:7;18033;81013;18675;14705
11/01/2016 23:29:7;18033;81236;19056;14744
11/01/2016 23:44:7;18033;81431;19080;14778
11/01/2016 23:59:7;17986;81698;19246;14778
11/02/2016 00:14:7;18152;81707;19603;14943
11/02/2016 00:29:7;18010;81648;19318;14793
11/02/2016 00:44:7;17962;81915;19270;14792
11/02/2016 00:59:7;18010;82036;19436;14860
11/02/2016 01:14:7;17843;82166;19222;14719
11/02/2016 01:29:7;17867;82226;19413;14753
11/02/2016 01:44:7;17701;82162;19175;14578
11/02/2016 01:59:7;17677;82212;19175;14564
11/02/2016 02:14:7;17938;82131;19722;14806
11/02/2016 02:29:7;18081;82052;19793;14933
11/02/2016 02:44:7;18010;82036;19555;14860
11/02/2016 02:59:7;17938;82187;19532;14816
11/02/2016 03:14:7;18010;82313;19674;14908
11/02/2016 03:29:7;18081;82163;19888;14952
11/02/2016 03:44:7;18176;82045;34334;15025
11/02/2016 03:59:7;18200;81856;22250;15015
11/02/2016 04:14:7;18176;81851;22705;14991
11/02/2016 04:29:7;18271;81955;22944;15102
11/02/2016 04:44:7;18319;81994;23256;15156
11/02/2016 04:59:7;18390;81954;24219;15219
11/02/2016 05:14:7;18438;81909;23569;15257
11/02/2016 05:29:7;18580;81773;24146;15374
11/02/2016 05:44:7;19103;81135;25647;15774
11/02/2016 05:59:7;19651;80019;26793;16111
11/02/2016 06:14:7;20317;78152;28048;16420
11/02/2016 06:29:7;21413;74590;28866;16804
11/02/2016 06:44:7;22537;70925;27801;17143
11/02/2016 06:59:7;23569;64486;;16706
11/02/2016 07:14:7;23256;65849;;16723
11/02/2016 07:29:7;21772;69811;;16172
11/02/2016 07:44:7;21724;71301;;16439
11/02/2016 07:59:7;22178;68673;;16319
11/02/2016 08:14:7;23280;65071;;16567
11/02/2016 08:29:7;24460;60148;;16497
11/02/2016 08:44:7;24847;57859;32150;16271
11/02/2016 08:59:7;24871;57987;31765;16327
11/02/2016 09:14:7;24702;58333;31179;16259
11/02/2016 09:29:7;25477;54798;33079;16031
11/02/2016 09:44:7;26304;53655;36039;16477
11/02/2016 09:59:7;27063;49296;35609;15871
11/02/2016 10:14:7;27407;48343;36308;15885
11/02/2016 10:29:7;28048;47162;;16087
11/02/2016 10:44:7;28369;47591;;16522
11/02/2016 10:59:7;28468;48089;;16775
11/02/2016 11:14:7;29040;46373;;16729
11/02/2016 11:29:7;29165;45016;;16377
11/02/2016 11:44:7;29190;45804;;16671
11/02/2016 11:59:7;29490;44169;;16374
11/02/2016 12:14:7;29740;42617;;16039
11/02/2016 12:29:7;29490;42556;;15791
11/02/2016 12:44:7;29414;43602;;16103
11/02/2016 12:59:7;29865;42334;;16047
11/02/2016 13:14:7;29865;42466;;16096
11/02/2016 13:29:7;30091;42689;;16382
11/02/2016 13:44:7;30066;41230;;15812
11/02/2016 13:59:7;29966;40820;;15566
11/02/2016 14:14:7;30343;40661;;15842
11/02/2016 14:29:7;30192;41177;;15905
11/02/2016 14:44:7;30192;41840;;16156
11/02/2016 14:59:7;29790;40070;;15118
11/02/2016 15:14:7;29740;42187;;15880
11/02/2016 15:29:7;29340;42473;;15625
